,order_id,LIFR%,VOFR%
0,FAP410101302,66.66666666666666,99.78094194961665
1,FAP410101402,66.66666666666666,94.29657794676805
2,FAP410101502,100.0,100.0
3,FAP410101603,100.0,100.0
4,FAP410102101,100.0,100.0
5,FAP410102501,0.0,89.90825688073394
6,FAP410102503,33.33333333333333,89.25925925925927
7,FAP410102603,83.33333333333334,93.7125748502994
8,FAP410103403,0.0,89.937106918239
9,FAP410103601,0.0,92.71844660194175
10,FAP410103602,0.0,91.37254901960785
11,FAP410121102,0.0,80.05865102639295
12,FAP410121303,100.0,100.0
13,FAP410121401,0.0,90.07352941176471
14,FAP410121403,100.0,100.0
15,FAP410121501,100.0,100.0
16,FAP410121503,100.0,100.0
17,FAP410121601,100.0,100.0
18,FAP410121602,0.0,94.73684210526315
19,FAP410122201,0.0,95.02262443438913
20,FAP410122202,0.0,90.0
21,FAP410122402,0.0,95.03105590062113
22,FAP410122403,100.0,100.0
23,FAP410122503,100.0,100.0
24,FAP410122602,0.0,80.19801980198021
25,FAP410122603,100.0,100.0
26,FAP410201102,100.0,100.0
27,FAP410201301,100.0,100.0
28,FAP410201402,100.0,100.0
29,FAP410201502,33.33333333333333,95.01246882793018
30,FAP410201503,100.0,100.0
31,FAP410201602,100.0,100.0
32,FAP410202302,0.0,90.0
33,FAP410202501,100.0,100.0
34,FAP410202503,100.0,100.0
35,FAP410202603,80.0,96.76985195154778
36,FAP410203103,100.0,100.0
37,FAP410203201,100.0,100.0
38,FAP410203203,100.0,100.0
39,FAP410203401,0.0,95.02262443438913
40,FAP410203603,100.0,100.0
41,FAP410220301,50.0,91.30434782608695
42,FAP410220403,100.0,100.0
43,FAP410220502,0.0,94.77124183006535
44,FAP410220601,33.33333333333333,96.6010733452594
45,FAP410220603,33.33333333333333,86.0655737704918
46,FAP410221401,100.0,100.0
47,FAP410221502,75.0,97.46192893401016
48,FAP410221603,83.33333333333334,96.37262984336357
49,FAP410301401,100.0,100.0
50,FAP410301402,100.0,100.0
51,FAP410301502,75.0,95.8659217877095
52,FAP410301603,66.66666666666666,98.8716502115656
53,FAP410303101,100.0,100.0
54,FAP410303401,66.66666666666666,94.34447300771208
55,FAP410303403,100.0,100.0
56,FAP410303501,100.0,100.0
57,FAP410303601,66.66666666666666,94.81327800829875
58,FAP410320203,0.0,83.86627906976744
59,FAP410320401,100.0,100.0
60,FAP410320601,100.0,100.0
61,FAP410321201,0.0,94.8905109489051
62,FAP410321203,100.0,100.0
63,FAP410321601,66.66666666666666,96.51394422310757
64,FAP410321602,33.33333333333333,87.73109243697479
65,FAP410321603,100.0,100.0
66,FAP410401102,0.0,94.89559164733178
67,FAP410401203,100.0,100.0
68,FAP410401303,100.0,100.0
69,FAP410401503,80.0,98.7228607918263
70,FAP410402101,0.0,80.0
71,FAP410402401,66.66666666666666,89.0795631825273
72,FAP410402601,75.0,89.29577464788733
73,FAP410402602,100.0,100.0
74,FAP410402603,100.0,100.0
75,FAP410403201,0.0,95.09803921568627
76,FAP410403203,100.0,100.0
77,FAP410403303,0.0,95.1219512195122
78,FAP410403601,0.0,79.78142076502732
79,FAP410403603,100.0,100.0
80,FAP410420103,100.0,100.0
81,FAP410420202,100.0,100.0
82,FAP410420401,100.0,100.0
83,FAP410420503,100.0,100.0
84,FAP410420601,0.0,80.0
85,FAP410421202,100.0,100.0
86,FAP410421203,0.0,89.9390243902439
87,FAP410421402,50.0,98.39228295819936
88,FAP410421403,0.0,90.15748031496062
89,FAP410421601,0.0,95.1219512195122
90,FAP410421603,33.33333333333333,96.83257918552036
91,FAP410422402,100.0,100.0
92,FAP410422403,0.0,79.91452991452992
93,FAP410422501,100.0,100.0
94,FAP410422502,50.0,93.7381404174573
95,FAP410422503,100.0,100.0
96,FAP410422602,100.0,100.0
97,FAP410422603,100.0,100.0
98,FAP410501203,100.0,100.0
99,FAP410501402,60.0,97.79058597502402
100,FAP410501501,66.66666666666666,95.45004945598417
101,FAP410501502,0.0,89.79591836734694
102,FAP410501503,100.0,100.0
103,FAP410503202,100.0,100.0
104,FAP410503303,100.0,100.0
105,FAP410503403,50.0,95.74726609963548
106,FAP410503603,25.0,93.26633165829146
107,FAP410520102,100.0,100.0
108,FAP410520203,0.0,94.77611940298507
109,FAP410520301,0.0,93.93939393939394
110,FAP410520403,100.0,100.0
111,FAP410520501,0.0,95.16129032258065
112,FAP410520503,100.0,100.0
113,FAP410520602,0.0,89.28571428571429
114,FAP410521103,0.0,94.91916859122402
115,FAP410521202,100.0,100.0
116,FAP410521401,50.0,98.31460674157303
117,FAP410521501,66.66666666666666,98.73417721518987
118,FAP410521502,50.0,95.10022271714922
119,FAP410521503,66.66666666666666,97.7366255144033
120,FAP410521601,0.0,95.18072289156626
121,FAP410521602,100.0,100.0
122,FAP410521603,100.0,100.0
123,FAP410522101,100.0,100.0
124,FAP410522102,100.0,100.0
125,FAP410522303,100.0,100.0
126,FAP410522401,100.0,100.0
127,FAP410522501,100.0,100.0
128,FAP410522601,100.0,100.0
129,FAP410522602,100.0,100.0
130,FAP410522603,100.0,100.0
131,FAP410601403,0.0,80.0
132,FAP410601503,100.0,100.0
133,FAP410601601,100.0,100.0
134,FAP410601602,50.0,97.58241758241758
135,FAP410603401,100.0,100.0
136,FAP410603503,100.0,100.0
137,FAP410603602,100.0,100.0
138,FAP410603603,66.66666666666666,94.05797101449276
139,FAP410621103,0.0,80.05780346820809
140,FAP410621402,50.0,99.05437352245863
141,FAP410621502,0.0,86.89075630252101
142,FAP410621503,100.0,100.0
143,FAP410622301,100.0,100.0
144,FAP410622501,66.66666666666666,98.0477223427332
145,FAP410622503,33.33333333333333,90.23622047244095
146,FAP410622603,100.0,100.0
147,FAP410702102,0.0,90.08097165991903
148,FAP410702201,0.0,79.72027972027972
149,FAP410702202,0.0,95.1086956521739
150,FAP410702302,100.0,100.0
151,FAP410702403,0.0,94.91525423728814
152,FAP410702501,0.0,89.82035928143712
153,FAP410702503,100.0,100.0
154,FAP410703203,100.0,100.0
155,FAP410703302,66.66666666666666,99.88674971687429
156,FAP410703303,0.0,95.45454545454545
157,FAP410703401,33.33333333333333,90.78242229367632
158,FAP410703503,100.0,100.0
159,FAP410703601,0.0,79.88505747126436
160,FAP410703603,50.0,92.98892988929889
161,FAP410720101,100.0,100.0
162,FAP410720401,0.0,80.04385964912281
163,FAP410720602,66.66666666666666,95.12987012987013
164,FAP410721102,100.0,100.0
165,FAP410721201,100.0,100.0
166,FAP410721202,100.0,100.0
167,FAP410721601,100.0,100.0
168,FAP410721602,100.0,100.0
169,FAP410902502,100.0,100.0
